Year,Cereal_Yield_kg_per_hectare,Decade,MA_3yr,MA_5yr,Yield_Change,Yield_Change_Pct,Yield_Zscore,Above_Average,Yield_Category,Decade_Avg,Above_Decade_Avg
1961,1075.3,1960,,,,,0.16654275298152932,True,Medium,1041.6333333333334,True
1962,1080.5,1960,1064.9333333333334,,5.2000000000000455,0.4835859760067063,0.19327050626006273,True,Medium,1041.6333333333334,True
1963,1039.0,1960,1069.0666666666666,1069.3,-41.5,-3.840814437760298,-0.020037524712846217,False,Medium,1041.6333333333334,False
1964,1087.7,1960,1063.5666666666666,1056.46,48.700000000000045,4.687199230028871,0.23027816464572426,True,Medium,1041.6333333333334,True
1965,1064.0,1960,1054.2666666666667,1032.4199999999998,-23.700000000000045,-2.17890962581595,0.10846128912625555,True,Medium,1041.6333333333334,True
1966,1011.1,1960,1011.8000000000001,1032.7,-52.89999999999998,-4.971804511278188,-0.16344220095728368,False,Medium,1041.6333333333334,False
1967,960.3,1960,1003.9333333333334,1018.4399999999999,-50.80000000000007,-5.024231035505888,-0.4245517906783388,False,Medium,1041.6333333333334,False
1968,1040.4,1960,1005.7000000000002,1027.46,80.10000000000014,8.341143392689808,-0.012841591137856049,False,Medium,1041.6333333333334,False
1969,1016.4,1960,1055.3,1047.72,-24.000000000000114,-2.3068050749711744,-0.13620045242339435,False,Medium,1041.6333333333334,False
1970,1109.1,1970,1079.3,1064.1200000000001,92.69999999999993,9.120425029515932,0.3402731492919947,True,Medium,1026.33,True
1971,1112.4,1970,1087.9333333333334,1067.26,3.300000000000182,0.2975385447660406,0.357234992718757,True,High,1026.33,True
1972,1042.3,1970,1070.2666666666667,1072.5800000000002,-70.10000000000014,-6.301690039554131,-0.0030756812860850157,False,Medium,1026.33,True
1973,1056.1,1970,1047.1333333333332,1048.9,13.799999999999955,1.3239950110332854,0.06785566395309893,True,Medium,1026.33,True
1974,1043.0,1970,1029.9333333333332,989.0800000000002,-13.099999999999909,-1.2404128396932057,0.0005222855014100677,True,Medium,1026.33,True
1975,990.7,1970,949.0,941.78,-52.299999999999955,-5.0143815915628,-0.2682972330499906,False,Medium,1026.33,False
1976,813.3,1970,869.9333333333334,949.28,-177.4000000000001,-17.90653073584335,-1.1801248160522573,False,Medium,1026.33,False
1977,805.8,1970,904.2333333333332,980.0799999999999,-7.5,-0.9221689413500544,-1.2186744602039878,False,Medium,1026.33,False
1978,1093.6,1970,1032.1333333333332,1046.9599999999998,287.79999999999995,35.716058575328866,0.2606038847117516,True,Medium,1026.33,True
1979,1197.0,1970,1205.2333333333333,1150.1799999999998,103.40000000000009,9.455010972933442,0.792074978750277,True,High,1026.33,True
1980,1325.1,1980,1283.8333333333333,1235.2,128.0999999999999,10.7017543859649,1.450502900861834,True,High,1253.71,True
1981,1329.4,1980,1295.1333333333334,1266.76,4.300000000000182,0.32450381103314996,1.4726046968421604,True,High,1253.71,True
1982,1230.9,1980,1270.5666666666666,1314.26,-98.5,-7.409357604934552,0.9663193703160995,True,High,1253.71,False
1983,1251.4,1980,1305.6000000000001,1301.72,20.5,1.6654480461451016,1.071688397664163,True,High,1253.71,False
1984,1434.5,1980,1316.1000000000001,1291.0800000000002,183.0999999999999,14.631612593894827,2.0128137102217436,True,High,1253.71,True
1985,1262.4,1980,1324.3666666666668,1268.44,-172.0999999999999,-11.997211571976296,1.1282278757533677,True,High,1253.71,True
1986,1276.2,1980,1218.7666666666667,1257.48,13.799999999999955,1.093155893536113,1.1991592209925517,True,High,1253.71,True
1987,1117.7,1980,1196.8333333333333,1193.16,-158.5,-12.419683435198248,0.3844767412526464,True,High,1253.71,False
1988,1196.6,1980,1142.3999999999999,1141.4599999999998,78.89999999999986,7.059139303927697,0.7900189977288509,True,High,1253.71,False
1989,1112.9,1980,1104.4666666666667,1108.7599999999998,-83.69999999999982,-6.994818652849721,0.3598049689955391,True,High,1253.71,False
